is_male,num_interactions_with_cust_service,country,late_on_payment,age,years_in_contract,churned
True,0.0,GRE,False,41.0,3.24037034920393,False
True,1.0,ISR,False,29.0,2.1213203435596424,False
False,0.0,GRE,False,34.0,3.24037034920393,False
False,1.0,ISR,False,29.0,3.24037034920393,False
True,0.0,ISR,False,33.0,3.082207001484488,False
False,1.0,ISR,False,38.0,3.24037034920393,False
False,1.0,GRE,True,24.0,3.082207001484488,True
True,1.0,GRE,False,35.0,1.5811388300841898,False
False,1.0,GRE,False,37.0,4.06201920231798,False
True,4.0,ISR,False,37.0,3.9370039370059056,True
True,0.0,ISR,False,30.0,3.24037034920393,False
False,1.0,GRE,True,23.0,1.224744871391589,False
True,1.0,GRE,False,32.0,2.345207879911715,False
False,0.0,ISR,False,26.0,2.345207879911715,False
True,1.0,GRE,False,37.0,3.24037034920393,False
False,0.0,ISR,False,25.0,3.391164991562634,False
True,0.0,GRE,False,20.0,3.8078865529319543,False
False,1.0,GRE,False,33.0,2.1213203435596424,False
True,1.0,GRE,False,35.0,2.5495097567963922,False
False,0.0,ISR,False,31.0,3.6742346141747673,False
True,0.0,ISR,False,36.0,1.224744871391589,True
True,1.0,ISR,False,29.0,3.6742346141747673,True
False,0.0,GRE,False,34.0,0.7071067811865476,False
True,1.0,ISR,False,28.0,2.5495097567963922,False
False,0.0,ISR,False,28.0,3.082207001484488,False
True,4.0,ISR,False,35.0,2.7386127875258306,False
True,1.0,ISR,False,35.0,1.8708286933869707,False
True,1.0,ISR,False,26.0,0.7071067811865476,True
True,1.0,ISR,False,32.0,4.06201920231798,True
False,1.0,GRE,False,21.0,3.082207001484488,True
False,0.0,GRE,False,27.0,1.8708286933869707,False
False,1.0,ISR,False,35.0,0.7071067811865476,False
True,0.0,GRE,False,32.0,2.345207879911715,False
True,0.0,GRE,False,30.0,1.224744871391589,False
True,1.0,ISR,False,29.0,2.1213203435596424,False
False,1.0,ISR,True,28.0,3.391164991562634,False
True,4.0,ISR,False,34.0,3.391164991562634,False
False,0.0,GRE,False,33.0,3.6742346141747673,False
True,1.0,ISR,False,36.0,0.7071067811865476,True
True,0.0,GRE,False,34.0,2.345207879911715,False
False,0.0,ISR,False,24.0,2.9154759474226504,False
False,0.0,GRE,False,38.0,1.8708286933869707,False
False,1.0,GRE,False,32.0,1.5811388300841898,False
False,1.0,GRE,True,30.0,1.224744871391589,False
False,1.0,ISR,False,28.0,3.082207001484488,False
False,1.0,ISR,False,27.0,2.345207879911715,False
True,1.0,ISR,False,36.0,3.6742346141747673,False
True,1.0,GRE,False,14.0,1.5811388300841898,False
True,0.0,ISR,False,29.0,2.5495097567963922,False
False,1.0,GRE,False,25.0,1.8708286933869707,False
True,1.0,GRE,False,34.0,3.391164991562634,False
True,0.0,ISR,True,31.0,3.6742346141747673,True
True,0.0,GRE,False,23.0,2.5495097567963922,True
False,4.0,ISR,False,32.0,1.8708286933869707,False
True,0.0,GRE,False,31.0,0.7071067811865476,False
True,1.0,ISR,False,29.0,3.391164991562634,False
True,1.0,GRE,False,38.0,4.06201920231798,False
True,1.0,GRE,False,23.0,2.7386127875258306,True
False,1.0,GRE,True,36.0,2.7386127875258306,False
False,1.0,GRE,False,30.0,2.9154759474226504,False
False,0.0,ISR,False,29.0,1.224744871391589,False
False,0.0,GRE,True,29.0,1.5811388300841898,False
True,0.0,GRE,False,30.0,0.7071067811865476,False
True,1.0,GRE,True,23.0,1.224744871391589,True
True,1.0,GRE,False,26.0,2.1213203435596424,True
True,0.0,GRE,False,30.0,2.345207879911715,False
False,1.0,ISR,False,35.0,2.1213203435596424,False
True,1.0,GRE,False,30.0,1.224744871391589,False
False,1.0,GRE,False,25.0,0.7071067811865476,True
True,1.0,ISR,False,21.0,0.7071067811865476,False
False,4.0,GRE,False,31.0,1.8708286933869707,True
False,0.0,GRE,False,26.0,3.082207001484488,False
True,1.0,ISR,False,37.0,2.345207879911715,False
False,0.0,ISR,False,28.0,2.1213203435596424,False
False,0.0,GRE,False,28.0,2.7386127875258306,False
False,0.0,GRE,False,31.0,3.9370039370059056,False
True,1.0,ISR,False,25.0,1.5811388300841898,False
False,1.0,GRE,False,34.0,2.1213203435596424,False
False,0.0,GRE,False,25.0,4.415880433163923,False
True,0.0,ISR,False,35.0,3.082207001484488,False
True,4.0,GRE,False,31.0,2.9154759474226504,False
False,4.0,ISR,False,26.0,2.1213203435596424,True
False,4.0,ISR,False,24.0,1.224744871391589,False
True,0.0,GRE,False,34.0,3.391164991562634,False
False,1.0,GRE,False,36.0,1.224744871391589,False
True,0.0,GRE,False,35.0,3.24037034920393,False
False,0.0,ISR,True,32.0,3.24037034920393,False
False,1.0,ISR,False,31.0,3.8078865529319543,False
True,0.0,GRE,False,43.0,5.244044240850758,False
True,0.0,GRE,False,38.0,4.06201920231798,False
True,1.0,ISR,False,21.0,1.8708286933869707,False
False,1.0,ISR,False,34.0,2.7386127875258306,False
False,0.0,ISR,False,28.0,2.7386127875258306,False
True,1.0,GRE,False,32.0,1.224744871391589,False
True,1.0,GRE,False,23.0,5.431390245600108,True
False,0.0,ISR,False,31.0,3.8078865529319543,False
True,0.0,GRE,False,27.0,1.8708286933869707,False
False,1.0,GRE,False,28.0,3.8078865529319543,False
False,1.0,ISR,False,23.0,2.1213203435596424,False
True,1.0,GRE,False,27.0,2.1213203435596424,False
True,0.0,ISR,True,32.0,2.345207879911715,True
True,0.0,ISR,False,38.0,3.082207001484488,False
False,1.0,GRE,False,26.0,2.5495097567963922,True
False,0.0,GRE,False,26.0,2.7386127875258306,False
False,0.0,GRE,False,28.0,3.5355339059327378,False
False,1.0,ISR,False,32.0,0.7071067811865476,False
False,1.0,ISR,False,27.0,1.5811388300841898,False
True,0.0,ISR,False,32.0,1.5811388300841898,False
False,0.0,GRE,False,29.0,3.5355339059327378,False
False,1.0,GRE,False,36.0,1.5811388300841898,False
True,1.0,ISR,False,33.0,3.082207001484488,False
True,0.0,GRE,False,23.0,3.082207001484488,True
True,1.0,GRE,False,30.0,1.5811388300841898,False
False,0.0,ISR,True,27.0,3.082207001484488,False
False,1.0,GRE,False,25.0,4.949747468305833,False
False,0.0,GRE,False,27.0,3.8078865529319543,False
False,1.0,GRE,False,31.0,1.224744871391589,False
True,0.0,ISR,False,30.0,1.224744871391589,False
False,0.0,GRE,False,32.0,3.6742346141747673,False
False,0.0,ISR,False,28.0,3.391164991562634,False
True,1.0,GRE,False,40.0,0.7071067811865476,False
False,1.0,ISR,False,32.0,1.8708286933869707,False
False,0.0,ISR,True,43.0,2.345207879911715,False
True,0.0,GRE,False,35.0,3.5355339059327378,False
False,0.0,GRE,False,34.0,2.5495097567963922,False
False,0.0,GRE,False,30.0,1.5811388300841898,False
True,1.0,ISR,False,31.0,2.9154759474226504,False
False,0.0,ISR,False,36.0,2.9154759474226504,False
True,0.0,ISR,False,39.0,3.24037034920393,False
True,0.0,ISR,False,31.0,1.224744871391589,False
True,4.0,ISR,False,27.0,1.224744871391589,True
False,0.0,ISR,False,34.0,3.24037034920393,False
False,1.0,GRE,False,35.0,3.082207001484488,False
False,1.0,GRE,False,27.0,3.24037034920393,False
True,0.0,ISR,False,27.0,3.082207001484488,False
True,1.0,GRE,False,38.0,3.24037034920393,False
True,1.0,ISR,False,31.0,2.345207879911715,False
False,4.0,GRE,False,21.0,1.5811388300841898,True
False,0.0,GRE,False,34.0,2.1213203435596424,False
False,0.0,ISR,False,30.0,3.082207001484488,False
True,0.0,ISR,False,31.0,3.6742346141747673,False
True,1.0,GRE,False,32.0,3.5355339059327378,False
False,1.0,GRE,False,34.0,2.5495097567963922,False
True,1.0,GRE,False,19.0,3.6742346141747673,False
True,4.0,GRE,False,34.0,2.5495097567963922,False
False,1.0,GRE,False,34.0,0.7071067811865476,False
False,0.0,GRE,False,30.0,2.7386127875258306,False
False,1.0,GRE,True,26.0,1.224744871391589,False
True,0.0,GRE,False,29.0,0.7071067811865476,False
True,1.0,GRE,False,30.0,1.8708286933869707,False
True,0.0,GRE,False,34.0,1.224744871391589,False
True,0.0,GRE,False,35.0,2.1213203435596424,False
True,1.0,ISR,False,24.0,3.082207001484488,False
True,1.0,GRE,False,25.0,1.8708286933869707,False
False,1.0,GRE,False,27.0,2.7386127875258306,False
False,1.0,GRE,False,36.0,3.24037034920393,False
False,0.0,ISR,False,26.0,1.8708286933869707,False
True,0.0,GRE,False,31.0,1.5811388300841898,False
False,0.0,ISR,False,30.0,3.391164991562634,False
True,0.0,ISR,False,32.0,0.7071067811865476,False
True,0.0,GRE,False,27.0,1.8708286933869707,False
True,1.0,ISR,False,17.0,1.5811388300841898,False
True,1.0,GRE,False,30.0,1.8708286933869707,False
False,1.0,GRE,False,36.0,4.527692569068709,False
True,0.0,ISR,False,41.0,3.8078865529319543,True
False,1.0,ISR,False,36.0,3.391164991562634,False
False,1.0,GRE,False,30.0,1.5811388300841898,False
True,0.0,GRE,False,35.0,5.049752469181039,False
False,1.0,GRE,False,30.0,2.7386127875258306,False
True,1.0,ISR,False,34.0,0.7071067811865476,False
False,1.0,GRE,False,36.0,4.847679857416329,False
True,1.0,GRE,False,32.0,1.8708286933869707,False
False,0.0,GRE,False,35.0,0.7071067811865476,False
True,0.0,ISR,False,24.0,1.224744871391589,False
False,0.0,GRE,False,28.0,2.345207879911715,False
False,0.0,ISR,False,41.0,2.9154759474226504,False
False,1.0,GRE,False,26.0,1.5811388300841898,False
False,1.0,ISR,False,30.0,2.9154759474226504,False
False,0.0,ISR,False,29.0,4.06201920231798,False
True,0.0,GRE,False,31.0,3.5355339059327378,False
False,1.0,GRE,False,23.0,3.5355339059327378,True
True,1.0,ISR,True,32.0,2.5495097567963922,False
True,1.0,GRE,False,31.0,3.8078865529319543,False
True,1.0,ISR,False,34.0,1.5811388300841898,False
True,0.0,GRE,False,34.0,1.8708286933869707,False
True,0.0,ISR,False,32.0,3.391164991562634,False
True,0.0,ISR,False,27.0,3.24037034920393,False
True,1.0,ISR,False,28.0,3.5355339059327378,False
True,0.0,GRE,False,33.0,3.8078865529319543,False
False,0.0,ISR,False,36.0,4.301162633521313,False
True,1.0,ISR,False,32.0,2.9154759474226504,False
False,0.0,GRE,False,33.0,2.345207879911715,False
False,1.0,GRE,False,34.0,2.345207879911715,False
False,1.0,GRE,False,31.0,3.5355339059327378,False
True,1.0,GRE,False,36.0,2.345207879911715,False
False,1.0,ISR,False,26.0,1.224744871391589,False
False,1.0,GRE,False,42.0,1.8708286933869707,True
False,0.0,GRE,False,36.0,3.24037034920393,False
True,1.0,GRE,False,28.0,3.9370039370059056,False
True,0.0,ISR,False,26.0,3.082207001484488,False
True,0.0,GRE,False,33.0,2.345207879911715,False
False,1.0,ISR,False,28.0,3.391164991562634,False
True,0.0,ISR,False,29.0,2.1213203435596424,False
True,1.0,GRE,False,26.0,2.9154759474226504,True
False,0.0,ISR,False,33.0,2.5495097567963922,False
False,0.0,GRE,False,30.0,3.082207001484488,False
True,1.0,ISR,False,36.0,3.082207001484488,False
True,0.0,ISR,True,25.0,3.391164991562634,False
True,4.0,GRE,False,37.0,3.6742346141747673,False
True,1.0,ISR,False,39.0,2.5495097567963922,False
True,1.0,GRE,False,33.0,3.6742346141747673,False
True,0.0,GRE,False,32.0,2.1213203435596424,False
False,0.0,ISR,False,47.0,2.7386127875258306,False
True,0.0,ISR,False,35.0,1.8708286933869707,False
True,1.0,ISR,False,21.0,1.224744871391589,False
True,1.0,GRE,False,30.0,2.1213203435596424,True
True,1.0,GRE,False,28.0,3.082207001484488,False
False,1.0,ISR,True,29.0,1.5811388300841898,False
True,0.0,ISR,False,39.0,2.9154759474226504,False
True,0.0,GRE,False,29.0,2.1213203435596424,False
True,1.0,ISR,True,32.0,3.8078865529319543,False
True,0.0,GRE,False,30.0,3.5355339059327378,False
True,0.0,GRE,False,28.0,3.391164991562634,False
False,4.0,GRE,False,25.0,3.5355339059327378,False
True,0.0,GRE,False,32.0,3.24037034920393,False
